Date,Daily Change,Change Rounded,Close/Last,Open,High,Low
08/16/2024,0.4294367598,0.429,5554.25,5530.5,5561.98,5525.17
08/15/2024,0.7651155308,0.765,5543.22,5501.13,5546.23,5501.13
08/14/2024,0.2361108049,0.236,5455.21,5442.36,5463.22,5415.91
08/13/2024,1.068443624,1.068,5434.43,5376.98,5436.5,5376.98
08/12/2024,-0.139950821,-0.14,5344.39,5351.88,5371.2,5324.37
08/09/2024,0.5550684334,0.555,5344.16,5314.66,5358.67,5300.84
08/08/2024,1.270616098,1.271,5319.31,5252.57,5328.03,5233.85
08/07/2024,-1.768896664,-1.769,5199.5,5293.13,5330.64,5195.54
08/06/2024,0.6455491489,0.646,5240.03,5206.42,5312.34,5193.56
08/05/2024,0.6831497494,0.683,5186.33,5151.14,5250.89,5119.26
08/02/2024,-0.5592722579,-0.559,5346.56,5376.63,5383.89,5302.03
08/01/2024,-1.646129177,-1.646,5446.68,5537.84,5566.16,5410.42
07/31/2024,0.3035097056,0.304,5522.3,5505.59,5551.51,5493.75
07/30/2024,-0.7718942164,-0.772,5436.44,5478.73,5489.46,5401.7
07/29/2024,-0.2375583168,-0.238,5463.54,5476.55,5487.74,5444.44
07/26/2024,0.4680078106,0.468,5459.1,5433.67,5488.32,5430.7
07/25/2024,-0.5430397701,-0.543,5399.22,5428.7,5491.59,5390.95
07/24/2024,-1.429572963,-1.43,5427.13,5505.84,5508.04,5419.98
07/23/2024,-0.1717787002,-0.172,5555.74,5565.3,5585.34,5550.9
07/22/2024,0.3583705772,0.358,5564.41,5544.54,5570.36,5529.04
07/19/2024,-0.6921782237,-0.692,5505,5543.37,5557.5,5497.04
07/18/2024,-1.140577974,-1.141,5544.59,5608.56,5614.05,5522.81
07/17/2024,-0.3885869517,-0.389,5588.27,5610.07,5622.49,5584.81
07/16/2024,0.4094548457,0.409,5667.2,5644.09,5669.67,5639.02
07/15/2024,-0.1230898023,-0.123,5631.22,5638.16,5666.94,5614.75
07/12/2024,0.4398328671,0.44,5615.35,5590.76,5655.56,5590.44
07/11/2024,-0.8991679103,-0.899,5584.54,5635.21,5642.45,5576.53
07/10/2024,0.762797652,0.763,5633.91,5591.26,5635.39,5586.44
07/09/2024,-0.1300087389,-0.13,5576.98,5584.24,5590.75,5574.57
07/08/2024,0.001794446189,0.002,5572.85,5572.75,5583.11,5562.51
07/05/2024,0.5287193183,0.529,5567.19,5537.91,5570.33,5531.63
07/03/2024,0.5370916433,0.537,5537.02,5507.44,5539.27,5507.42
07/02/2024,0.8636283743,0.864,5509.01,5461.84,5509.69,5458.43
07/01/2024,0.07329448665,0.073,5475.09,5471.08,5479.55,5446.53
06/28/2024,-0.5101594613,-0.51,5460.48,5488.48,5523.64,5451.12
06/27/2024,0.1695413796,0.17,5482.87,5473.59,5490.81,5467.54
06/26/2024,0.3147942301,0.315,5477.9,5460.71,5483.14,5451.87
06/25/2024,0.1569387243,0.157,5469.3,5460.73,5472.88,5446.56
06/24/2024,-0.2144853633,-0.214,5447.87,5459.58,5490.66,5447.59
06/21/2024,-0.03932852489,-0.039,5464.62,5466.77,5478.31,5452.03
06/20/2024,-0.4876372502,-0.488,5473.17,5499.99,5505.53,5455.56
06/18/2024,0.1986797294,0.199,5487.03,5476.15,5490.38,5471.32
06/17/2024,0.7755320736,0.776,5473.23,5431.11,5488.5,5420.4
06/14/2024,0.138641023,0.139,5431.6,5424.08,5432.39,5403.75
06/13/2024,-0.150498077,-0.15,5433.74,5441.93,5441.93,5402.51
06/12/2024,0.2199984101,0.22,5421.03,5409.13,5447.25,5409.13
06/11/2024,0.416962451,0.417,5375.32,5353,5375.95,5327.25
06/10/2024,0.3663956924,0.366,5360.79,5341.22,5365.79,5331.52
06/07/2024,0.05950810377,0.06,5346.99,5343.81,5375.08,5331.33
06/06/2024,-0.0903355855,-0.09,5352.96,5357.8,5362.35,5335.36
06/05/2024,0.744193223,0.744,5354.03,5314.48,5354.16,5297.64
06/04/2024,0.2481887902,0.248,5291.34,5278.24,5298.8,5257.63
06/03/2024,-0.2595735443,-0.26,5283.4,5297.15,5302.11,5234.32
05/31/2024,0.6541794054,0.654,5277.51,5243.21,5280.33,5191.68
05/30/2024,-0.4618072653,-0.462,5235.48,5259.77,5260.21,5222.1
05/29/2024,-0.2231597373,-0.223,5266.95,5278.73,5282.27,5262.7
05/28/2024,-0.1856690576,-0.186,5306.04,5315.91,5315.91,5280.89
05/24/2024,0.4405986992,0.441,5304.72,5281.45,5311.65,5278.39
05/23/2024,-1.356113747,-1.356,5267.84,5340.26,5341.88,5256.93
05/22/2024,-0.2306703163,-0.231,5307.01,5319.28,5323.18,5286.01
05/21/2024,0.428785228,0.429,5321.41,5298.69,5324.32,5297.87
05/20/2024,0.05239993591,0.052,5308.13,5305.35,5325.32,5302.4
05/17/2024,0.003205672154,0.003,5303.27,5303.1,5305.45,5283.59
05/16/2024,-0.2442529006,-0.244,5297.1,5310.07,5325.49,5296.19
05/15/2024,0.8528934539,0.853,5308.15,5263.26,5311.76,5263.26
05/14/2024,0.4899350712,0.49,5246.68,5221.1,5250.37,5217.98
05/13/2024,-0.2228133336,-0.223,5221.42,5233.08,5237.26,5211.16
05/10/2024,-0.0537748613,-0.054,5222.68,5225.49,5239.66,5209.68
05/09/2024,0.4827491843,0.483,5214.08,5189.03,5215.3,5180.41
05/08/2024,0.3615800409,0.362,5187.67,5168.98,5191.95,5165.86
05/07/2024,0.009639111659,0.01,5187.7,5187.2,5200.23,5178.96
05/06/2024,0.7451744509,0.745,5180.74,5142.42,5181,5142.42
05/03/2024,0.09779846099,0.098,5127.79,5122.78,5139.12,5101.22
05/02/2024,0.2946931468,0.295,5064.2,5049.32,5073.21,5011.05
05/01/2024,-0.2115716152,-0.212,5018.39,5029.03,5096.12,5013.45
04/30/2024,-1.334109229,-1.334,5035.69,5103.78,5110.83,5035.31
04/29/2024,0.03988948267,0.04,5116.17,5114.13,5123.49,5088.65
04/26/2024,0.3011023374,0.301,5099.96,5084.65,5114.62,5073.14
04/25/2024,0.568539487,0.569,5048.42,5019.88,5057.75,4990.58
04/24/2024,-0.2601841545,-0.26,5071.63,5084.86,5089.48,5047.02
04/23/2024,0.829215427,0.829,5070.55,5028.85,5076.12,5027.96
04/22/2024,0.4665823196,0.467,5010.6,4987.33,5038.84,4969.4
04/19/2024,-0.763369454,-0.763,4967.23,5005.44,5019.02,4953.56
04/18/2024,-0.4054440805,-0.405,5011.12,5031.52,5056.66,5001.89
04/17/2024,-0.9224753747,-0.922,5022.21,5068.97,5077.96,5007.25
04/16/2024,-0.2602382424,-0.26,5051.41,5064.59,5079.84,5039.83
04/15/2024,-1.705934555,-1.706,5061.82,5149.67,5168.43,5052.47
04/12/2024,-0.9300958521,-0.93,5123.41,5171.51,5175.03,5107.94
04/11/2024,0.5047410085,0.505,5199.06,5172.95,5211.78,5138.77
04/10/2024,-0.1400961323,-0.14,5160.64,5167.88,5178.43,5138.7
04/09/2024,-0.1364761176,-0.136,5209.91,5217.03,5224.81,5160.78
04/08/2024,-0.1723155332,-0.172,5202.39,5211.37,5219.57,5197.35
04/05/2024,0.879830198,0.88,5204.34,5158.95,5222.18,5157.21
04/04/2024,-1.846664315,-1.847,5147.21,5244.05,5256.59,5146.06
04/03/2024,0.3295876112,0.33,5211.49,5194.37,5228.75,5194.37
04/02/2024,0.02920667372,0.029,5205.81,5204.29,5208.34,5184.05
04/01/2024,-0.2700662043,-0.27,5243.77,5257.97,5263.95,5229.2
03/28/2024,0.1204261409,0.12,5254.35,5248.03,5264.85,5245.82
03/27/2024,0.4243912053,0.424,5248.49,5226.31,5249.26,5213.92
03/26/2024,-0.4832802624,-0.483,5203.58,5228.85,5235.16,5203.42
03/25/2024,-0.02548127031,-0.025,5218.19,5219.52,5229.09,5216.09
03/22/2024,-0.1583220155,-0.158,5234.18,5242.48,5246.09,5229.87
03/21/2024,-0.2265186745,-0.227,5241.53,5253.43,5261.1,5240.66
03/20/2024,0.8284941785,0.828,5224.62,5181.69,5226.19,5171.55
03/19/2024,0.7670618728,0.767,5178.51,5139.09,5180.31,5131.59
03/18/2024,-0.1037873659,-0.104,5149.42,5154.77,5175.6,5145.47
03/15/2024,-0.121405888,-0.121,5117.09,5123.31,5136.86,5104.35
03/14/2024,-0.4765088481,-0.477,5150.48,5175.14,5176.85,5123.3
03/13/2024,-0.1581137685,-0.158,5165.31,5173.49,5179.14,5151.88
03/12/2024,0.7979666167,0.798,5175.27,5134.3,5179.87,5114.48
03/11/2024,0.1169805711,0.117,5117.94,5111.96,5124.66,5091.14
03/08/2024,-0.7894339389,-0.789,5123.69,5164.46,5189.26,5117.5
03/07/2024,0.4867137663,0.487,5157.36,5132.38,5165.62,5128.21
03/06/2024,-0.0640168519,-0.064,5104.76,5108.03,5127.97,5092.22
03/05/2024,-0.6236156008,-0.624,5078.65,5110.52,5114.54,5056.82
03/04/2024,-0.0007795766509,-0.001,5130.95,5130.99,5149.67,5127.18
03/01/2024,0.7564955252,0.756,5137.08,5098.51,5140.33,5094.16
02/29/2024,0.2145374172,0.215,5096.27,5085.36,5104.99,5061.89
02/28/2024,0.05052099779,0.051,5069.76,5067.2,5077.37,5058.35
02/27/2024,0.07054743231,0.071,5078.18,5074.6,5080.69,5057.29
02/26/2024,-0.4608285883,-0.461,5069.53,5093,5097.66,5068.91
02/23/2024,-0.2376041969,-0.238,5088.8,5100.92,5111.06,5081.46
02/22/2024,0.9565712675,0.957,5087.03,5038.83,5094.39,5038.83
02/21/2024,0.3781963841,0.378,4981.8,4963.03,4983.21,4946
02/20/2024,-0.2767912261,-0.277,4975.51,4989.32,4993.71,4955.02
02/16/2024,-0.5080369619,-0.508,5005.57,5031.13,5038.7,4999.52
02/15/2024,0.5314662392,0.531,5029.73,5003.14,5032.72,4999.44
02/14/2024,0.4858895114,0.486,5000.62,4976.44,5002.52,4956.45
02/13/2024,-0.2973063282,-0.297,4953.17,4967.94,4971.3,4920.31
02/12/2024,-0.0992673315,-0.099,5021.84,5026.83,5048.39,5016.83
02/09/2024,0.4484260127,0.448,5026.61,5004.17,5030.06,5000.34
02/08/2024,0.05505329159,0.055,4997.91,4995.16,5000.4,4987.09
02/07/2024,0.442585536,0.443,4995.06,4973.05,4999.89,4969.05
02/06/2024,0.08221956462,0.082,4954.23,4950.16,4957.77,4934.88
02/05/2024,-0.2900836966,-0.29,4942.81,4957.19,4957.19,4918.09
02/02/2024,0.8655305265,0.866,4958.61,4916.06,4975.29,4907.99
02/01/2024,0.927360212,0.927,4906.19,4861.11,4906.97,4853.52
01/31/2024,-1.092833713,-1.093,4845.65,4899.19,4906.75,4845.15
